SUPPLIER_PART_NUMBER	MANUFACTURER_NAME	MANUFACTURER_PART_NUMBER	SHORT_DESCRIPTION	LONG_DESCRIPTION	NOTES_COMMENTS	CATEGORY_OF_PRODUCT_1	CATEGORY_OF_PRODUCT_2	CATEGORY_OF_PRODUCT_3	RESELLER_BUY_EX	RRP_EX	GOV_BUY_EX	GOV_RETAIL_EX	RESELLER_BUY_INC	RRP_INC	GOV_BUY_INC	GOV_RETAIL_INC	SERIALIZED	AVAILABILITY_M	AVAILABILITY_S	EOR_MARKER	WEIGHT	HEIGHT	WIDTH	LENGTH	TOTAL_AVAILABILITY	EAN	UPC	APN	G_Code	MOQ	MOQ_TYPE
10GAI9901(STREAM-DECK-MINI)	Corsair	10GAI9901	Elgato Stream Deck Mini - Live Content Creation Controller with 6 customizable LCD keys	Elgato Stream Deck Mini - Live Content Creation Controller with 6 customizable LCD keys		Game Console - Controller & Accessory			74.00	90.00			81.40	99.00			NO	0	0	EOR	0.310	6	8.4	5.8	0	4260195391710	813180020658	0813180020658	Y5207	1	Minimum Order Quantity
11348-01-20G(RX9070XT-NITRO+-16G)	Sapphire	11348-01-20G	SAPPHIRE NITRO+ AMD RADEON RX 9070 XT GAMING OC 16GB DUAL HDMI / DUAL DP	SAPPHIRE NITRO+ AMD RADEON RX 9070 XT GAMING OC 16GB DUAL HDMI / DUAL DP		Graphics Card			1099.00	1271.82			1208.90	1399.00			NO	0	497	EOR	2.660	20	20	30	497			4895106295872	DA00017026	1	Minimum Order Quantity
11348-02-20G(RX9070XT-PURE-16G)	Sapphire	11348-02-20G	SAPPHIRE PURE AMD RADEON RX 9070 XT GAMING OC 16GB DUAL HDMI / DUAL DP	SAPPHIRE PURE AMD RADEON RX 9070 XT GAMING OC 16GB DUAL HDMI / DUAL DP		Graphics Card			999.00	1226.36			1098.90	1349.00			NO	0	144	EOR	1.820	20	20	30	144			4895106295896	DA00017027	1	Minimum Order Quantity
11348-03-20G(RX9070XT-PULSE-16G)	Sapphire	11348-03-20G	SAPPHIRE PULSE AMD RADEON RX 9070 XT GAMING 16GB DUAL HDMI / DUAL DP	SAPPHIRE PULSE AMD RADEON RX 9070 XT GAMING 16GB DUAL HDMI / DUAL DP		Graphics Card			959.00	1180.91			1054.90	1299.00			NO	0	650	EOR	1.790	20	20	30	650			4895106295919	DA00017028	1	Minimum Order Quantity
11350-01-20G (RX9060XT-NITRO-16G)	Sapphire	11350-01-20G	SAPPHIRE NITRO+ AMD RADEON RX 9060 XT GAMING OC 16GB DUAL HDMI / DP	SAPPHIRE NITRO+ AMD RADEON RX 9060 XT GAMING OC 16GB DUAL HDMI / DP		Graphics Card			630.00	817.27			693.00	899.00			NO	0	214	EOR	1.640	20	30	40	214	4895106296619		4895106296619	DA00020852	1	Minimum Order Quantity
11350-02-20G (RX9060XT-PURE-16G)	Sapphire	11350-02-20G	SAPPHIRE PURE AMD RADEON RX 9060 XT GAMING OC 16GB DUAL HDMI / DP	SAPPHIRE PURE AMD RADEON RX 9060 XT GAMING OC 16GB DUAL HDMI / DP		Graphics Card			575.00	744.55			632.50	819.00			NO	0	448	EOR	0.950	20	30	40	448	4895106296442		4895106296442	DA00020853	1	Minimum Order Quantity
11350-03-20G (RX9060XT-PULSE-16G)	Sapphire	11350-03-20G	SAPPHIRE PULSE AMD RADEON RX 9060 XT GAMING OC 16GB DUAL HDMI / DP	SAPPHIRE PULSE AMD RADEON RX 9060 XT GAMING OC 16GB DUAL HDMI / DP		Graphics Card			565.00	726.36			621.50	799.00			NO	0	0	EOR	0.920	20	30	40	0	4895106296381		4895106296381	DA00020854	1	Minimum Order Quantity
15M-CABLE	Starlink	4851100	STANDARD STARLINK CABLE 15M FOR STANDARD KIT (LATEST GENERATION)	STANDARD STARLINK CABLE 15M FOR STANDARD KIT (LATEST GENERATION)		Network & Firewall - Accessory			120.72	135.45			132.79	149.00			NO	0	0	EOR	0.780	5	13.5	36	0		850049670258	0850049670258	DA00005878	1	Minimum Order Quantity
15U50T-G.AR55A	LG	15U50T-G.AR55A	"LG GramBook,15.6""IPS,16:9,FHD(1920x1080),I5-1334U,8GBDDR4,512GBSSD(M.2),WiFi-6,BT5.2,HDCam,Spk(2x1.5w),USB2.0x1,USB3.2x1,USB-Cx2,HDMI,Win11H,1yrRTB"	"LG GramBook,15.6""IPS,16:9,FHD(1920x1080),I5-1334U,8GBDDR4,512GBSSD(M.2),WiFi-6,BT5.2,HDCam,Spk(2x1.5w),USB2.0x1,USB3.2x1,USB-Cx2,HDMI,Win11H,1yrRTB"		Notebook - Commercial			924.16	1140.91			1016.58	1255.00			NO	98	137	EOR	2.650	1.94	23.78	35.98	235	8806096368664	8806096368664	8806096368664	DA00021085	1	Minimum Order Quantity
16MR70.ASDA	LG	16MR70.ASDA	"LG 16""+ PORTABLE MONITOR, 16:10,IPS,WQXGA (2560x1600),2xUSB-C  Anti-glare,DCI-P3 99%, 350cd/?, WTY 1Y"	"LG 16""+ PORTABLE MONITOR, 16:10,IPS,WQXGA (2560x1600),2xUSB-C  Anti-glare,DCI-P3 99%, 350cd/?, WTY 1Y"		Monitor			360.75	453.64			396.82	499.00			NO	2	10	EOR	1.750	0.83	24.55	36	12	8806084175526	8806084175526	8806084175526	c5434	1	Minimum Order Quantity
1E4-00005	Microsoft - Commercial	1E4-00005	Surface USB-C Travel Hub Commercial	Surface USB-C Travel Hub Commercial		Notebook Accessory - Commercial			114.84	159.95			126.32	175.95			NO	0	0	EOR	0.150	2.5	5.3	17.2	0	889842635096	889842635096	0889842635096	R3694	1	Minimum Order Quantity
1E7D6UT	HP System - Commercial	1E7D6UT	HP Prelude 15.6 Backpack (Replaces 1E7D6AA)	HP Prelude 15.6 Backpack (Replaces 1E7D6AA)		Notebook Accessory - Commercial			21.50	29.00			23.65	31.90			NO	249	22	EOR	0.420	30.8	3.8	26.5	271		195122283681	0195122283681	DA00006713	1	Minimum Order Quantity
1E7D7AA	HP System - Commercial	1E7D7AA	HP Prelude 15.6 Top Load	HP Prelude 15.6 Top Load		Notebook Accessory - Commercial			14.50	19.00			15.95	20.90			NO	90	134	EOR	0.330	40	6	28.5	224	195122282776	195122282776	0195122282776	b7626	1	Minimum Order Quantity
1M0Q0A(Fax)	HP - Print	1M0Q0A	HP MFP Analog Fax 702 Accessory	HP MFP Analog Fax 702 Accessory		Printer & Scanner - Label Printer / Large Format / Accessory			185.57	584.89			204.13	643.38			NO	0	3	EOR	0.550	11	20	29.5	3	0197029345325	0197029345325	0197029345325	c6969	1	Minimum Order Quantity
1P3K6AA	HP System - Commercial	1P3K6AA	HP 65W USB-C LC Power Adapter	HP 65W USB-C LC Power Adapter		Notebook Accessory - Commercial			29.75	39.00			32.72	42.90			NO	94	283	EOR	0.410	9	2.85	5.1	377	195122442989	195122442989	0195122442989	b2768	1	Minimum Order Quantity
1VU26AA	HP - Print	1VU26AA	HP31 Cyan Original Ink Bottle	HP31 Cyan Original Ink Bottle		Print Consumable - Inkjet Cartridges			18.87	22.79			20.76	25.07			NO	0	14	EOR	0.120	15	4.7	4.7	14	191628455300	191628455300	0191628455300	G0337	1	Minimum Order Quantity
1VU27AA	HP - Print	1VU27AA	HP31 Magenta Original Ink Bottle	HP31 Magenta Original Ink Bottle		Print Consumable - Inkjet Cartridges			18.87	22.79			20.76	25.07			NO	0	28	EOR	0.120	15	4.7	4.7	28	191628455317	191628455317	0191628455317	G0338	1	Minimum Order Quantity
1VU28AA	HP - Print	1VU28AA	HP31 Yellow Original Ink Bottle	HP31 Yellow Original Ink Bottle		Print Consumable - Inkjet Cartridges			18.87	22.79			20.76	25.07			NO	0	23	EOR	0.120	15	4.7	4.7	23	191628455324	191628455324	0191628455324	G0339	1	Minimum Order Quantity
1WC36AA	HP System - Commercial	1WC36AA	HP USB-C to HDMI 2.0 Adapter	HP USB-C to HDMI 2.0 Adapter		Notebook Accessory - Commercial			26.50	35.00			29.15	38.50			NO	0	0	EOR	0.040	7	10	17	0	190781926740	190781926740	0190781926740	H0445	1	Minimum Order Quantity
1X644AA	HP System - Commercial	1X644AA	"HP Prelude Pro Recycle 15.6"" Backpack"	"HP Prelude Pro Recycle 15.6"" Backpack"		Notebook Accessory - Commercial			34.00	45.00			37.40	49.50			NO	77	0	EOR	0.480	41.75	22.7	52.54	77	194850442308	194850442308	0194850442308	R3194	1	Minimum Order Quantity
1X645AA	HP System - Commercial	1X645AA	"HP Prelude Pro Recycle 15.6"" Top Load"	"HP Prelude Pro Recycle 15.6"" Top Load"		Notebook Accessory - Commercial			27.00	35.00			29.70	38.50			NO	478	28	EOR	0.500	40.64	6.98	28.57	506	194850442315	194850442315	0194850442315	R3195	1	Minimum Order Quantity
1Y4D0UT	HP System - Commercial	1Y4D0UT	HP 235 WL Mouse and Keyboard Combo (Replaces 1Y4D0AA)	HP 235 WL Mouse and Keyboard Combo (Replaces 1Y4D0AA)		Desktop PC Accessory - Commercial			35.40	45.00			38.94	49.50			NO	990	1443	EOR	0.810	4.4	22	45.6	2433	198122958986	198122958986	0198122958986	DA00006711	1	Minimum Order Quantity
240J7AA	HP System - Commercial	240J7AA	HP 150 Wired Mouse and Keyboard	HP 150 Wired Mouse and Keyboard		Desktop PC Accessory - Commercial			18.90	22.68			20.79	24.95			NO	149	14	EOR	0.780	18.8	43	52.1	163	195122875589	195122875589	0195122875589	a5548	1	Minimum Order Quantity
24BA550-B	LG	24BA550-B.AAUQ	"B2B,23.8"",IPS,16:9,FHD(1920x1080),5ms,100Hz,D-Sub,HDMI(1.4),DP(1.2),TILT,HEIGHT,SWIVEL,SPK(2Wx2),VESA100x100,3YR WTY"	"B2B,23.8"",IPS,16:9,FHD(1920x1080),5ms,100Hz,D-Sub,HDMI(1.4),DP(1.2),TILT,HEIGHT,SWIVEL,SPK(2Wx2),VESA100x100,3YR WTY"		Monitor			167.34	244.55			184.07	269.00			NO	0	0	EOR	6.300	25	52	54	0	8806096318140	8806096318140	8806096318140	DA00017300	1	Minimum Order Quantity
24BA750-B	LG	24BA750-B.AAU	"B2B,23.8"",IPS,16:9,FHD(1920x1080),5ms,100Hz,HDMI(2.0),DP(1.4)IN/OUT,USB-C(65W),RJ-45,KVM,TILT,PIVOT,HEIGHT,SWIVEL,SPK(2Wx2),VESA100x100,3YR WTY"	"B2B,23.8"",IPS,16:9,FHD(1920x1080),5ms,100Hz,HDMI(2.0),DP(1.4)IN/OUT,USB-C(65W),RJ-45,KVM,TILT,PIVOT,HEIGHT,SWIVEL,SPK(2Wx2),VESA100x100,3YR WTY"		Monitor			293.48	362.73			322.83	399.00			NO	0	3	EOR	8.200	25	51.75	53.96	3	8806096259252	8806096259252	8806096259252	DA00017900	1	Minimum Order Quantity
265A9UT	HP System - Commercial	265A9UT	HP 125 Wired Mouse (replaces 265A9AA)	HP 125 Wired Mouse (replaces 265A9AA)		Desktop PC Accessory - Commercial			13.80	17.00			15.18	18.70			NO	134	92	EOR	0.130	13.6	21.2	16.3	226	195161439049	195161439049	0195161439049	DA00006160	1	Minimum Order Quantity
27BA45QB-B	LG	27BA45QB-B.AAU	"B2B,27"",HDR10,IPS,16:9,QHD(2560x1440),5ms,75Hz,HDMI(2.0)x2,DP(1.4)x1,KVM,TILT,PIVOT,HEIGHT,SWIVEL,SPK(5Wx2),VESA100x100,3YR WTY"	"B2B,27"",HDR10,IPS,16:9,QHD(2560x1440),5ms,75Hz,HDMI(2.0)x2,DP(1.4)x1,KVM,TILT,PIVOT,HEIGHT,SWIVEL,SPK(5Wx2),VESA100x100,3YR WTY"		Monitor			318.70	408.18			350.57	449.00			NO	4	3	EOR	10.100	25	56.97	61.35	7	8806096617755	8806096617755	8806096617755	DA00024670	1	Minimum Order Quantity
27BA45U-B	LG	27BA45U-B.AAU	"27"" UltraFine UHD 4K IPS,3840x2160,60HZ, 16:9, 5ms, 2xHDMI, 1xDP, Tilt/Height/Swivel/Pivot , 3Y WTY"	"27"" UltraFine UHD 4K IPS,3840x2160,60HZ, 16:9, 5ms, 2xHDMI, 1xDP, Tilt/Height/Swivel/Pivot , 3Y WTY"		Monitor			318.70	435.45			350.57	479.00			NO	0	0	EOR	9.000	25.32	53.92	61.35	0	8806096430545	8806096430545	8806096430545	DA00026877	1	Minimum Order Quantity
27BA550-B	LG	27BA550-B.AAUQ	"B2B,27"",IPS,16:9,FHD(1920x1080),5ms,100Hz,D-Sub,HDMI(1.4),DP(1.2),TILT,HEIGHT,SWIVEL,SPK(2Wx2),VESA100x100,3YR WTY"	"B2B,27"",IPS,16:9,FHD(1920x1080),5ms,100Hz,D-Sub,HDMI(1.4),DP(1.2),TILT,HEIGHT,SWIVEL,SPK(2Wx2),VESA100x100,3YR WTY"		Monitor			226.20	226.36			248.82	249.00			NO	32	124	EOR	7.600	25	38.8	61.17	156	8806096430545	8806096430545	8806096430545	DA00022360	1	Minimum Order Quantity
27BA850-B	LG	27BA850-B.AAU	"B2B,27"",IPS,16:9,FHD(1920x1080),5ms,100Hz,HDMI(2.0),DP(1.4)IN/OUT,USB-C(65W),RJ-45,WEBCAM,KVM,TILT,PIVOT,HEIGHT,SWIVEL,SPK(2Wx2),VESA100x100,3YR WTY"	"B2B,27"",IPS,16:9,FHD(1920x1080),5ms,100Hz,HDMI(2.0),DP(1.4)IN/OUT,USB-C(65W),RJ-45,WEBCAM,KVM,TILT,PIVOT,HEIGHT,SWIVEL,SPK(2Wx2),VESA100x100,3YR WTY"		Monitor			394.39	499.09			433.83	549.00			NO	20	25	EOR	10.310	25	53.8	61.17	45	8806096410851	8806096410851	8806096410851	DA00020951	1	Minimum Order Quantity
27G610A-B	LG	27G610A-B.AAUQ	"27"" ULTRAGEAR,FSYNC,HDR400,16:9,IPS,QHD(2560x1440),1ms,200Hz,HDMI(2.1)x2,DP(1.4),TILT,PIVOT,HEIGHT,SWIVEL,VESA100x100,3YR WTY"	"27"" ULTRAGEAR,FSYNC,HDR400,16:9,IPS,QHD(2560x1440),1ms,200Hz,HDMI(2.1)x2,DP(1.4),TILT,PIVOT,HEIGHT,SWIVEL,VESA100x100,3YR WTY"		Monitor - Gaming			293.48	399.09			322.83	439.00			NO	186	0	EOR	7.200	49.2	36.45	61.35	186	8806096586969	8806096586969	8806096586969	DA00024671	1	Minimum Order Quantity
27G810A-B	LG	27G810A-B.AAU	"27"" ULTRAGEAR,FSYNC,HDR400,16:9,IPS,UHD(3840x2160),1ms,D-MODE(UHD 180Hz-FHD 360Hz),HDMI(2.1)x2,DP(1.4),TILT,PIVOT,HEIGHT,SWIVEL,VESA100x100,3YR WTY"	"27"" ULTRAGEAR,FSYNC,HDR400,16:9,IPS,UHD(3840x2160),1ms,D-MODE(UHD 180Hz-FHD 360Hz),HDMI(2.1)x2,DP(1.4),TILT,PIVOT,HEIGHT,SWIVEL,VESA100x100,3YR WTY"		Monitor - Gaming			697.11	771.82			766.82	849.00			NO	0	0	EOR	10.000	22	53.45	61.35	0	8806096662250	8806096662250	8806096662250	DA00026892	1	Minimum Order Quantity
27GM950B-B	LG	27GM950B-B.AAU	"27"" ULTRAGEAR EVO,GSYNC,HDR1000,21:9,MINI LED,5K(5120x2880),1ms,D-MODE(5K 165Hz-QHD 330Hz),HDMI(2.1)x2,DP(2.1),USB-C(90w),TLT,HGT,SVL,VESA100x100,2YR"	"27"" ULTRAGEAR EVO,GSYNC,HDR1000,21:9,MINI LED,5K(5120x2880),1ms,D-MODE(5K 165Hz-QHD 330Hz),HDMI(2.1)x2,DP(2.1),USB-C(90w),TLT,HGT,SVL,VESA100x100,2YR"		Monitor - Gaming			1680.98	1871.82			1849.08	2059.00			NO	0	0	EOR	8.500	24.91	53.53	61.45	0	8806096846827	8806096846827	8806096846827	DA00030367	1	Minimum Order Quantity
27GX704A-B	LG	27GX704A-B.AAU	"27"" ULTRAGEAR GX7,OLED,16:9,QHD(2560x1440),0.03ms,240Hz,HDMI(2.1),DP(1.4),TLT,HGT,SVL,PVT,VESA100x100,2YR WTY"	"27"" ULTRAGEAR GX7,OLED,16:9,QHD(2560x1440),0.03ms,240Hz,HDMI(2.1),DP(1.4),TLT,HGT,SVL,PVT,VESA100x100,2YR WTY"		Monitor - Gaming			613.02	717.27			674.32	789.00			NO	22	0	EOR	10.450	22	53.26	60.52	22	8806096626511	8806096626511	8806096626511	DA00030368	1	Minimum Order Quantity
27GX790B-B	LG	27GX790B-B.AAU	"26.5"" ULTRAGEAR,GSYNC,HDR500,16:9,OLED,QHD(2650x1440),0.02ms,D-MODE(QHD 540Hz-HD 720Hz),HDMI(2.1)x2,DP(2.1),TILT,PIVOT,HEIGHT,SWIVEL,VESA100x100,2YR"	"26.5"" ULTRAGEAR,GSYNC,HDR500,16:9,OLED,QHD(2650x1440),0.02ms,D-MODE(QHD 540Hz-HD 720Hz),HDMI(2.1)x2,DP(2.1),TILT,PIVOT,HEIGHT,SWIVEL,VESA100x100,2YR"		Monitor - Gaming			1134.39	1253.64			1247.83	1379.00			NO	0	0	EOR	6.800	22	52.76	60.52	0	8806096696354	8806096696354	8806096696354	DA00030369	1	Minimum Order Quantity
27QP88D-BS	LG	27QP88D-BS.AAU	"ERGO 2x 27"" QHD(2560x1440) Daisy Chain Monitor,16:9,IPS,5ms,75Hz,HDMI(2.0)x1,DP(1.4)x1,USB3.0x2,USB-C(60W),C-CLAMP ERGO STAND,3YR WTY"	"ERGO 2x 27"" QHD(2560x1440) Daisy Chain Monitor,16:9,IPS,5ms,75Hz,HDMI(2.0)x1,DP(1.4)x1,USB3.0x2,USB-C(60W),C-CLAMP ERGO STAND,3YR WTY"		Monitor			840.07	1362.73			924.08	1499.00			NO	0	18	EOR	25.500	59	61.3	122.71	18	8806087962444		8806087962444	c2668	1	Minimum Order Quantity
27U711B-B	LG	27U711B-B.AAU	"27"" ULTRAFINE,HDR10,IPS,16:9,4K,UHD(3840x2160),5MS,60Hz,HDMI(2.0),DP(1.4),TILT,VESA100x100,3YR WTY"	"27"" ULTRAFINE,HDR10,IPS,16:9,4K,UHD(3840x2160),5MS,60Hz,HDMI(2.0),DP(1.4),TILT,VESA100x100,3YR WTY"		Monitor			243.02	271.82			267.32	299.00			NO	0	0	EOR	5.750	22	46.19	61.35	0	8806096861677	8806096861677	8806096861677	DA00030370	1	Minimum Order Quantity
27U730A-B	LG	27U730A-B.AAU	"27"" ULTRAFINE,HDR10,IPS,16:9,4K,UHD(3840x2160),5MS,60Hz,HDMI(2.0),DP(1.4),USB-C(90W),TILT,PIVOT,HEIGHT, SWIVEL,SPK(5Wx2),VESA100x100,3YR WTY"	"27"" ULTRAFINE,HDR10,IPS,16:9,4K,UHD(3840x2160),5MS,60Hz,HDMI(2.0),DP(1.4),USB-C(90W),TILT,PIVOT,HEIGHT, SWIVEL,SPK(5Wx2),VESA100x100,3YR WTY"		Monitor			444.84	590.00			489.32	649.00			NO	0	1	EOR	10.300	25.32	53.92	61.35	1	8806096539576	8806096539576	8806096539576	DA00022742	1	Minimum Order Quantity
27U731SA-W	LG	27U731SA-W.AAU	"27"" SMART MONITOR,WEBOS,HDR10,IPS,16:9,UHD(3840x2160),5ms,60Hz,HDMI(2.0)x2,USB-C(65W),BT,WIFI,TILT,SPK(5Wx2),VESA100x100,3YR WTY"	"27"" SMART MONITOR,WEBOS,HDR10,IPS,16:9,UHD(3840x2160),5ms,60Hz,HDMI(2.0)x2,USB-C(65W),BT,WIFI,TILT,SPK(5Wx2),VESA100x100,3YR WTY"		Monitor			394.39	544.55			433.83	599.00			NO	0	0	EOR	8.200	46	37.3	61.3	0	8806096519646	8806096519646	8806096519646	DA00024675	1	Minimum Order Quantity
27UP600K-W	LG	27UP600K-W.AAU	"27"" ULTRAFINE,HDR10,IPS,16:9,4K,UHD(3840x2160),5MS,60Hz,HDMI(2.0)x2,DP(1.4),TILT,VESA100x100,3YR WTY"	"27"" ULTRAFINE,HDR10,IPS,16:9,4K,UHD(3840x2160),5MS,60Hz,HDMI(2.0)x2,DP(1.4),TILT,VESA100x100,3YR WTY"		Monitor - Gaming			335.52	453.64			369.07	499.00			NO	14	0	EOR	6.450	21	45	61	14	8806096368213	8806096368213	8806096368213	DA00017301	1	Minimum Order Quantity
27UP850K-W	LG	27UP850K-W.AAU	"27"" ULTRAFINE,HDR10,IPS,16:9,4K,UHD(3840x2160),5MS,60Hz,HDMI(2.0)x2,DP(1.4),USB-C(90W),TILT,PIVOT,HEIGHT,SPK(5Wx2),VESA100x100,3YR WTY"	"27"" ULTRAFINE,HDR10,IPS,16:9,4K,UHD(3840x2160),5MS,60Hz,HDMI(2.0)x2,DP(1.4),USB-C(90W),TILT,PIVOT,HEIGHT,SPK(5Wx2),VESA100x100,3YR WTY"		Monitor			419.61	635.45			461.57	699.00			NO	0	8	EOR	8.750	23.93	56.93	61.35	8	8806096298565	8806096298565	8806096298565	DA00017904	1	Minimum Order Quantity
27US500-W	LG	27US500-W.AAU	"27"" ULTRAFINE,HDR10,IPS,16:9,4K,UHD(3840x2160),5MS,60Hz,HDMI(2.0)x2,DP(1.4),TILT,VESA100x100,3YR WTY"	"27"" ULTRAFINE,HDR10,IPS,16:9,4K,UHD(3840x2160),5MS,60Hz,HDMI(2.0)x2,DP(1.4),TILT,VESA100x100,3YR WTY"		Monitor			234.61	335.45			258.07	369.00			NO	327	245	EOR	6.800	45.4	36.3	61.5	572	8806096197714	8806096197714	8806096197714	DA00012334	1	Minimum Order Quantity
2DW53AA	HP System - Commercial	2DW53AA	HP B300 PC Mounting Bracket	HP B300 PC Mounting Bracket		Desktop PC Accessory - Commercial			45.00	59.00			49.50	64.90			NO	B	B	EOR	0.520	8	13	28	B	191628141197	191628141197	0191628141197	G1563	1	Minimum Order Quantity
2EH31A(FAX)	HP - Print	2EH31A	HP MFP Analog Fax Accessory 700	HP MFP Analog Fax Accessory 700		Printer & Scanner - Label Printer / Large Format / Accessory			249.00	324.00			273.90	356.40			NO	3	0	EOR	0.480	11.4	29.5	20.4	3	192545363839	192545363839	0192545363839	J9465	1	Minimum Order Quantity
2JA63AA	HP System - Commercial	2JA63AA	HP DisplayPort To HDMI True 4k Adapter	HP DisplayPort To HDMI True 4k Adapter		Notebook Accessory - Commercial			49.50	65.00			54.45	71.50			NO	0	14	EOR	0.130	15	30	45	14	191628449194	191628449194	0191628449194	H6126	1	Minimum Order Quantity
322PF(9U5B0UT)	HP System - Commercial	9U5B0UT	"HP SERIES 3 PRO 322PF, 21.5"" IPS, 16:9, 1920x1080, VGA+DP+HDMI, Tilt, 3 Yrs (Replaces 64X86AA)"	"HP SERIES 3 PRO 322PF, 21.5"" IPS, 16:9, 1920x1080, VGA+DP+HDMI, Tilt, 3 Yrs (Replaces 64X86AA)"		Monitor			149.00	210.00			163.90	231.00			NO	48	74	EOR	5.200	38.7	12.1	56.7	122	198122622511	198122622511	0198122622511	DA00006702	1	Minimum Order Quantity
322PH(B0BN7UT)	HP System - Commercial	B0BN7UT	"HP SERIES 3 PRO 322PH, 21.5"" IPS, 16:9, 1920x1080, HEIGHT ADJUST, SPEAKERS, VGA+DP+HDMI, Tilt, 3 Yrs (replaces 64W30AA)"	"HP SERIES 3 PRO 322PH, 21.5"" IPS, 16:9, 1920x1080, HEIGHT ADJUST, SPEAKERS, VGA+DP+HDMI, Tilt, 3 Yrs (replaces 64W30AA)"		Monitor			150.00	213.00			165.00	234.30			NO	47	0	EOR	5.400	38.7	13.3	56.7	47			1111111111111	DA00020182	1	Minimum Order Quantity
324PF(9U5J5UT)	HP System - Commercial	9U5J5UT	"HP SERIES 3 PRO 324PF, 23.8"" IPS, 16:9, 1920x1080, VGA+DP+HDMI, Tilt, 3 Yrs (Replaces 64X66AA)"	"HP SERIES 3 PRO 324PF, 23.8"" IPS, 16:9, 1920x1080, VGA+DP+HDMI, Tilt, 3 Yrs (Replaces 64X66AA)"		Monitor			160.00	224.00			176.00	246.40			NO	0	375	EOR	5.860	39.1	12.4	59.5	375	198122621217	198122621217	0198122621217	DA00006703	1	Minimum Order Quantity
324PH(B0BU9UT)	HP System - Commercial	B0BU9UT	"HP SERIES 3 PRO 324PH, 23.8"" IPS, 16:9, 1920x1080, HEIGHT ADJUST, SPEAKERS, VGA+DP+HDMI, Tilt, 3 Yrs (replaces 64W34AA)"	"HP SERIES 3 PRO 324PH, 23.8"" IPS, 16:9, 1920x1080, HEIGHT ADJUST, SPEAKERS, VGA+DP+HDMI, Tilt, 3 Yrs (replaces 64W34AA)"		Monitor			168.00	237.00			184.80	260.70			NO	144	494	EOR	6.400	39.1	59.5	12.4	638			1111111111111	DA00020180	1	Minimum Order Quantity
324PV(9U5C1AA)	HP System - Commercial	9U5C1AA	"HP SERIES 3 PRO 324PV, 23.8"", 16:9, 1920x1080, VGA+HDMI, Tilt, 3 Yrs"	"HP SERIES 3 PRO 324PV, 23.8"", 16:9, 1920x1080, VGA+HDMI, Tilt, 3 Yrs"		Monitor			169.00	215.00			185.90	236.50			NO	0	0	EOR	5.540	39.1	12.4	59.5	0	198122210367	198122210367	0198122210367	DA00011941	1	Minimum Order Quantity
327PF(B0CG3UT)	HP System - Commercial	B0CG3UT	"HP SERIES 3 PRO 327PF, 27.0"" IPS, 16:9, 1920x1080, VGA+DP+HDMI, Tilt, 3 Yrs (replaces 64X69AA)"	"HP SERIES 3 PRO 327PF, 27.0"" IPS, 16:9, 1920x1080, VGA+DP+HDMI, Tilt, 3 Yrs (replaces 64X69AA)"		Monitor			180.00	285.00			198.00	313.50			NO	125	48	EOR	7.300	42.5	13.7	68.5	173			1111111111111	DA00020183	1	Minimum Order Quantity
327PH(B0CG8UT)	HP System - Commercial	B0CG8UT	"HP SERIES 3 PRO 327PH, 27.0"" IPS, 16:9, 1920x1080, HEIGHT ADJUST, SPEAKERS, VGA+DP+HDMI, Tilt, 3 Yrs (replaces 64W41AA)"	"HP SERIES 3 PRO 327PH, 27.0"" IPS, 16:9, 1920x1080, HEIGHT ADJUST, SPEAKERS, VGA+DP+HDMI, Tilt, 3 Yrs (replaces 64W41AA)"		Monitor			192.00	305.00			211.20	335.50			NO	162	60	EOR	8.480	42.5	68.5	14.1	222			1111111111111	DA00020181	1	Minimum Order Quantity
32G600A-B	LG	32G600A-B.AAUQ	"31.5"" ULTRAGEAR,FSYNC,HDR10,16:9,VA,QHD(2560x1440),5ms,180Hz,HDMI(2.0)x2,DP(1.4),TILT,HEIGHT,SWIVEL,VESA100x100,3YR WTY"	"31.5"" ULTRAGEAR,FSYNC,HDR10,16:9,VA,QHD(2560x1440),5ms,180Hz,HDMI(2.0)x2,DP(1.4),TILT,HEIGHT,SWIVEL,VESA100x100,3YR WTY"		Monitor - Gaming			271.61	317.27			298.77	349.00			NO	0	0	EOR	8.900	25.96	55.99	70.25	0	8806096849507	8806096849507	8806096849507	DA00030372	1	Minimum Order Quantity
32GX850A-B	LG	32GX850A-B.AAU	"31.5"" ULTRAGEAR,FSYNC,HDR400,16:9,OLED,UHD(3840x2160),1ms,D-MODE(UHD 165Hz-FHD 330Hz),HDMI(2.1)x2,DP(1.4),TILT,PIVOT,HEIGHT,SWIVEL,VESA100x100,2YR WTY"	"31.5"" ULTRAGEAR,FSYNC,HDR400,16:9,OLED,UHD(3840x2160),1ms,D-MODE(UHD 165Hz-FHD 330Hz),HDMI(2.1)x2,DP(1.4),TILT,PIVOT,HEIGHT,SWIVEL,VESA100x100,2YR WTY"		Monitor - Gaming			1092.34	1908.18			1201.57	2099.00			NO	0	9	EOR	9.550	54.4	18.3	97.3	9			8806096597408	DA00024341	1	Minimum Order Quantity
