SUPPLIER_PART_NUMBER	MANUFACTURER_NAME	MANUFACTURER_PART_NUMBER	SHORT_DESCRIPTION	LONG_DESCRIPTION	NOTES_COMMENTS	CATEGORY_OF_PRODUCT_1	CATEGORY_OF_PRODUCT_2	CATEGORY_OF_PRODUCT_3	RESELLER_BUY_EX	RRP_EX	GOV_BUY_EX	GOV_RETAIL_EX	RESELLER_BUY_INC	RRP_INC	GOV_BUY_INC	GOV_RETAIL_INC	SERIALIZED	AVAILABILITY_M	AVAILABILITY_S	EOR_MARKER	WEIGHT	HEIGHT	WIDTH	LENGTH	TOTAL_AVAILABILITY	EAN	UPC	APN	G_Code	MOQ	MOQ_TYPE
981-001432(H570E)	Logitech - Consumer	981-001432	Logitech H570e USB-A Stereo Business Headset - Teams	Logitech H570e USB-A Stereo Business Headset - Teams		Headset & Microphone			77.94	90.86			85.73	99.95			NO	23	0	EOR	0.150	16.3	6.2	17.4	23	097855195661	097855195661	0097855195661	DA00027043	1	Minimum Order Quantity
981-001437(ZONE2)	Logitech - Consumer	981-001437	Logitech Zone Wireless 2 Bluetooth Business Headset - Teams	Logitech Zone Wireless 2 Bluetooth Business Headset - Teams		Headset & Microphone			363.92	427.23			400.31	469.95			NO	0	379	EOR	0.500	22.1	6.2	22.8	379	097855196309	097855196309	0097855196309	DA00027051	1	Minimum Order Quantity
981-001447(ZONE305)	Logitech - Consumer	981-001447	Logitech Zone 305 Bluetooth w/receiver Business Headset - Teams	Logitech Zone 305 Bluetooth w/receiver Business Headset - Teams		Headset & Microphone			132.12	154.50			145.33	169.95			NO	32	0	EOR	0.250	18.4	7.2	17.4	32	097855196934	097855196934	0097855196934	DA00027055	1	Minimum Order Quantity
981-001454(ZONE305)	Logitech - Consumer	981-001454	Logitech Zone 305 Bluetooth w/receiver Business Headset - UC	Logitech Zone 305 Bluetooth w/receiver Business Headset - UC		Headset & Microphone			132.12	154.50			145.33	169.95			NO	2	9	EOR	0.260	18.4	7.2	17.4	11	097855196965	097855196965	0097855196965	DA00027056	1	Minimum Order Quantity
981-001459(ZONE305)	Logitech - Consumer	981-001459	Logitech Zone 305 Bluetooth Business Headset - Teams	Logitech Zone 305 Bluetooth Business Headset - Teams		Headset & Microphone			109.10	127.23			120.01	139.95			NO	3	472	EOR	0.250	18.4	7.2	17.4	475	097855196910	097855196910	0097855196910	DA00027054	1	Minimum Order Quantity
981-001504(ZONE2ES)	Logitech - Consumer	981-001504	Zone Wireless 2 ES Headset - GRAPHITE	Zone Wireless 2 ES Headset - GRAPHITE		Headset & Microphone			269.54	299.95			296.49	329.95			NO	86	53	EOR	0.450	23.7	5.9	19.4	139	097855205025	097855205025	0097855205025	DA00026176	1	Minimum Order Quantity
981-001525(G325)	Logitech - Consumer	981-001525	G325 Lightspeed HEADSET Black	G325 Lightspeed HEADSET Black		Headset & Microphone			164.05	171.68			180.46	188.85			NO	1052	266	EOR	0.350	20.2	8.9	19.2	1318	097855202659	097855202659	0097855202659	DA00026340	1	Minimum Order Quantity
981-001532(G325)	Logitech - Consumer	981-001532	G325 Lightspeed HEADSET White	G325 Lightspeed HEADSET White		Headset & Microphone			164.05	171.68			180.46	188.85			NO	284	228	EOR	0.400	20.2	8.9	19.2	512	097855202697	097855202697	0097855202697	DA00026342	1	Minimum Order Quantity
981-001539(G325)	Logitech - Consumer	981-001539	G325 Lightspeed HEADSET Lilac	G325 Lightspeed HEADSET Lilac		Headset & Microphone			164.05	171.68			180.46	188.85			NO	45	150	EOR	0.400	20.2	8.9	19.2	195	097855202703	097855202703	0097855202703	DA00026343	1	Minimum Order Quantity
981-001545(G522)	Logitech - Consumer	981-001545	G522 LIGHTSPEED Wireless Gaming Headset Black	G522 LIGHTSPEED Wireless Gaming Headset Black		Headset & Microphone			224.94	272.68			247.43	299.95			NO	713	287	EOR	0.670	21	10.5	21.4	1000	097855205537	097855205537	0097855205537	DA00020685	1	Minimum Order Quantity
